Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot2,"Rodney Wilmore",hard,37,Failed,"Spawn Rush","Spawn Rush: Objective #1","1","11:13:32","11:14:53",
Bot4,"Lucas Futch",normal,63,Failed,"Unloading Area Rafters","Unloading Area Rafters: Objective #1","1","11:13:32","11:14:15",
Bot5,"Lincoln Petillo",normal,47,Failed,"3rd Floor Office Rush","3rd Floor Office Rush: Objective #1","1","11:13:32","11:14:42",
Bot1,"Jamey Courtemanche",hard,14,Failed,"Scout","Zone place_pacemaker_SCOUT_03","1","11:13:32","11:13:41",
Bot3,"Warren Losada",normal,62,Failed,"3rd Floor Office Rush","3rd Floor Office Rush: Objective #1","1","11:13:32","11:14:15",
Bot3,"Warren Losada",normal,62,Failed,"3rd Floor Office Rush","3rd Floor Office Rush: Objective #2","1","11:13:32","11:14:15",
Bot3,"Warren Losada",normal,62,Failed,"Break Room","Break Room: Objective #1","1","11:13:32","11:14:15",
