Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot12,"Ulysses Blessing",easy,61,Failed,"Spawn Rush","Spawn Rush: Objective #1","1","11:20:25","11:20:46",
Bot15,"Wyatt Bye",normal,36,Failed,"3rd Floor Office Rush","3rd Floor Office Rush: Objective #1","1","11:20:25","11:21:17",
Bot14,"Quinn Lerch",normal,39,Failed,"Forklift","Forklift: Objective #1","1","11:20:26","11:21:17",
Bot13,"Mac Yokum",easy,16,Failed,"Delivery From the Past","Zone case_extraction","1","11:20:26","11:21:38",
Bot16,"Russel Oyler",hard,40,Failed,"3rd Floor Office Rush","3rd Floor Office Rush: Objective #2","1","11:20:26","11:22:10",
