Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot2,"Константин Шулёв",hard,44,Failed,"Spawn Rush","Spawn Rush: Objective #1","1","14:36:15","14:36:36",
Bot1,"Самуил Илюшин",hard,57,Failed,"Crates Outside of Gate 3","Crates Outside of Gate 3: Objective #1","1","14:36:15","14:36:28",
