Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot2,"Назар Сунгатулин",hard,61,Pending,"Spawn Rush","Spawn Rush: Objective #1","1","14:00:57","N/A",
Bot3,"Иван Бабыкин",hard,60,Pending,"Break Room","Break Room: Objective #1","1","14:00:57","N/A",
Bot5,"Потап Лосевский",hard,39,Active,"Boilers","Boilers: Objective #1","1","14:00:57","N/A",
Bot4,"Jerrell Phipps",hard,63,Failed,"Unloading Area Rafters","Unloading Area Rafters: Objective #1","1","14:00:57","14:01:23",
Bot1,"Филат Гаранин",hard,44,Pending,"3rd Floor Office Rush","3rd Floor Office Rush: Objective #1","1","14:00:57","N/A",
Bot1,"Филат Гаранин",hard,44,Pending,"3rd Floor Office Rush","3rd Floor Office Rush: Objective #2","1","14:00:57","N/A",
Bot1,"Филат Гаранин",hard,44,Active,"3rd Floor Office","3rd Floor Office: Objective #1","1","14:00:57","N/A",
