Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"Earl Leadbetter",hard,39,Failed,"1st Floor Office","1st Floor Office: Objective #1","3","12:01:55","12:03:36",
Bot4,"Vincent Heffron",hard,4,Failed,"Spawn Rush","Spawn Rush: Objective #1","1","12:01:55","12:03:03",
Bot2,"Calvin Castellanos",hard,47,Pending,"3rd Floor Office Rush","3rd Floor Office Rush: Objective #1","2","12:01:55","N/A",
Bot2,"Calvin Castellanos",hard,47,Active,"3rd Floor Office Rush","3rd Floor Office Rush: Objective #2","1","12:03:36","N/A",
Bot3,"Randell Larue",hard,17,Failed,"3rd Floor Office","3rd Floor Office: Objective #1","2","12:01:55","12:05:04",
Bot5,"Trinidad Seeman",hard,53,Failed,"NE Crates in Workshop","NE Crates in Workshop: Objective #1","1","12:01:56","12:02:14",
